year,sexe,age,esperance
2016,femmes,16,69.7
2017,femmes,16,69.8
2018,femmes,16,69.9
2019,femmes,16,70.0
2020,femmes,16,69.5
2021,femmes,16,69.6
2022,femmes,16,69.6
2023,femmes,16,70.1
2024,femmes,16,70.2
1998,femmes,17,66.2
1999,femmes,17,66.2
2000,femmes,17,66.5
2001,femmes,17,66.5
2002,femmes,17,66.5
2003,femmes,17,66.2
2004,femmes,17,67.3
2005,femmes,17,67.2
2006,femmes,17,67.9
2007,femmes,17,68.2
2008,femmes,17,68.2
2009,femmes,17,68.4
2010,femmes,17,68.7
2011,femmes,17,69.1
2012,femmes,17,68.8
2013,femmes,17,69.0
2014,femmes,17,68.8
2015,femmes,17,68.5
2016,femmes,17,68.8
2017,femmes,17,68.8
2018,femmes,17,68.9
2019,femmes,17,69.0
2020,femmes,17,68.5
2021,femmes,17,68.6
2022,femmes,17,68.6
2023,femmes,17,69.1
2024,femmes,17,69.2
1998,femmes,18,65.2
1999,femmes,18,65.2
2000,femmes,18,65.5
2001,femmes,18,65.5
2002,femmes,18,65.5
2003,femmes,18,65.2
2004,femmes,18,66.3
2005,femmes,18,66.3
2006,femmes,18,66.9
2007,femmes,18,67.2
2008,femmes,18,67.3
2009,femmes,18,67.4
2010,femmes,18,67.7
2011,femmes,18,68.1
2012,femmes,18,67.8
2013,femmes,18,68.0
2014,femmes,18,67.8
2015,femmes,18,67.5
2016,femmes,18,67.8
2017,femmes,18,67.8
2018,femmes,18,67.9
2019,femmes,18,68.0
2020,femmes,18,67.5
2021,femmes,18,67.6
2022,femmes,18,67.6
2023,femmes,18,68.1
2024,femmes,18,68.2
1998,femmes,19,64.2
1999,femmes,19,64.3
2000,femmes,19,64.5
2001,femmes,19,64.6
2002,femmes,19,64.5
2003,femmes,19,64.2
2004,femmes,19,65.3
2005,femmes,19,65.3
2006,femmes,19,65.9
2007,femmes,19,66.2
2008,femmes,19,66.3
2009,femmes,19,66.4
2010,femmes,19,66.7
2011,femmes,19,67.1
2012,femmes,19,66.8
2013,femmes,19,67.1
2014,femmes,19,66.8
2015,femmes,19,66.6
2016,femmes,19,66.8
2017,femmes,19,66.8
